Key;SNS (m);SPC (m);PPV (m);NPV (m);ACC (m);BACC (m);SNS (o);SPC (o);PPV (o);NPV (o);ACC (o);BACC (o);SNS (CI95%);SPC (CI95%);PPV (CI95%);NPV (CI95%);ACC (CI95%);BACC (CI95%)
Prostate-3H-Hinton-S73;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S74;94.11764705882352;27.27272727272727;66.66666666666666;75;67.85714285714286;60.6951871657754;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S75;23.52941176470588;100;100;45.83333333333333;53.57142857142857;61.76470588235294;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S76;64.70588235294117;81.81818181818183;84.61538461538461;60;71.42857142857143;73.2620320855615;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S77;17.647058823529413;90.9090909090909;75;41.66666666666667;46.42857142857143;54.278074866310156;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S78;0;100;0;39.285714285714285;39.285714285714285;50;0;0;0;0;0;0;NA;0;NA;0;0;0
Prostate-3H-Hinton-S79;88.23529411764706;0;57.692307692307686;0;53.57142857142857;44.11764705882353;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S8;47.05882352941176;81.81818181818183;80;50;60.71428571428571;64.43850267379679;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S80;94.11764705882352;0;59.25925925925925;0;57.14285714285714;47.05882352941176;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S81;64.70588235294117;81.81818181818183;84.61538461538461;60;71.42857142857143;73.2620320855615;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S82;94.11764705882352;45.45454545454545;72.72727272727273;83.33333333333334;75;69.78609625668449;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S83;100;9.090909090909092;62.96296296296296;99.99999999999997;64.28571428571429;54.54545454545454;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S84;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S85;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S86;0;100;0;39.285714285714285;39.285714285714285;50;0;0;0;0;0;0;NA;0;NA;0;0;0
Prostate-3H-Hinton-S87;100;9.090909090909092;62.96296296296296;99.99999999999997;64.28571428571429;54.54545454545454;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S88;41.17647058823529;81.81818181818183;77.77777777777779;47.368421052631575;57.14285714285714;61.49732620320856;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S89;100;0;60.71428571428571;0;60.71428571428571;50;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S9;94.11764705882352;27.27272727272727;66.66666666666666;75;67.85714285714286;60.6951871657754;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S90;94.11764705882352;27.27272727272727;66.66666666666666;75;67.85714285714286;60.6951871657754;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S91;23.52941176470588;100;100;45.83333333333333;53.57142857142857;61.76470588235294;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S92;64.70588235294117;81.81818181818183;84.61538461538461;60;71.42857142857143;73.2620320855615;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S93;17.647058823529413;90.9090909090909;75;41.66666666666667;46.42857142857143;54.278074866310156;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S94;0;100;0;39.285714285714285;39.285714285714285;50;0;0;0;0;0;0;NA;0;NA;0;0;0
Prostate-3H-Hinton-S95;88.23529411764706;0;57.692307692307686;0;53.57142857142857;44.11764705882353;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S96;94.11764705882352;0;59.25925925925925;0;57.14285714285714;47.05882352941176;0;0;0;0;0;0;0;NA;0;NA;0;0
Prostate-3H-Hinton-S97;82.35294117647058;72.72727272727273;82.35294117647058;72.72727272727273;78.57142857142857;77.54010695187165;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S98;88.23529411764706;54.54545454545454;75;75;75;71.3903743315508;0;0;0;0;0;0;0;0;0;0;0;0
Prostate-3H-Hinton-S99;100;9.090909090909092;62.96296296296296;99.99999999999997;64.28571428571429;54.54545454545454;0;0;0;0;0;0;0;0;0;0;0;0
